ID,Name,Resume,Cover Letter,Student,University,Availability,Employment Type,Email,Phone
1,Applicant 1,https://drive.google.com/resume_1,Cover Letter 1,Yes,LMN University,Fall,Coop/Internship,applicant1@example.com,+1-941-520-5796
2,Applicant 2,https://drive.google.com/resume_2,Cover Letter 2,Yes,PQR Institute,Fall,Part Time,applicant2@example.com,+1-994-911-7977
3,Applicant 3,https://drive.google.com/resume_3,Cover Letter 3,Yes,University of ABC,Winter,Full Time,applicant3@example.com,+1-245-777-5326
4,Applicant 4,https://drive.google.com/resume_4,Cover Letter 4,No,XYZ College,Summer,Full Time,applicant4@example.com,+1-769-264-3509
5,Applicant 5,https://drive.google.com/resume_5,Cover Letter 5,Yes,LMN University,Winter,Full Time,applicant5@example.com,+1-721-465-3587
6,Applicant 6,https://drive.google.com/resume_6,Cover Letter 6,Yes,PQR Institute,Winter,Coop/Internship,applicant6@example.com,+1-994-339-3322
7,Applicant 7,https://drive.google.com/resume_7,Cover Letter 7,Yes,EFG Tech,Fall,Full Time,applicant7@example.com,+1-879-596-7571
8,Applicant 8,https://drive.google.com/resume_8,Cover Letter 8,Yes,XYZ College,Summer,Part Time,applicant8@example.com,+1-558-457-4098
9,Applicant 9,https://drive.google.com/resume_9,Cover Letter 9,No,University of ABC,Fall,Full Time,applicant9@example.com,+1-825-732-5858
10,Applicant 10,https://drive.google.com/resume_10,Cover Letter 10,Yes,LMN University,Winter,Part Time,applicant10@example.com,+1-815-213-7917
11,Applicant 11,https://drive.google.com/resume_11,Cover Letter 11,No,LMN University,Fall,Full Time,applicant11@example.com,+1-769-182-5609
12,Applicant 12,https://drive.google.com/resume_12,Cover Letter 12,Yes,XYZ College,Winter,Coop/Internship,applicant12@example.com,+1-819-554-1773
13,Applicant 13,https://drive.google.com/resume_13,Cover Letter 13,Yes,LMN University,Summer,Full Time,applicant13@example.com,+1-963-430-4210
14,Applicant 14,https://drive.google.com/resume_14,Cover Letter 14,Yes,LMN University,Fall,Part Time,applicant14@example.com,+1-943-409-2396
15,Applicant 15,https://drive.google.com/resume_15,Cover Letter 15,Yes,LMN University,Winter,Coop/Internship,applicant15@example.com,+1-659-989-7215
16,Applicant 16,https://drive.google.com/resume_16,Cover Letter 16,No,University of ABC,Fall,Part Time,applicant16@example.com,+1-251-672-5402
17,Applicant 17,https://drive.google.com/resume_17,Cover Letter 17,No,University of ABC,Winter,Full Time,applicant17@example.com,+1-484-232-1991
18,Applicant 18,https://drive.google.com/resume_18,Cover Letter 18,Yes,LMN University,Winter,Full Time,applicant18@example.com,+1-333-969-3688
19,Applicant 19,https://drive.google.com/resume_19,Cover Letter 19,No,PQR Institute,Winter,Coop/Internship,applicant19@example.com,+1-376-512-3895
20,Applicant 20,https://drive.google.com/resume_20,Cover Letter 20,No,PQR Institute,Fall,Full Time,applicant20@example.com,+1-204-276-5624
21,Applicant 21,https://drive.google.com/resume_21,Cover Letter 21,Yes,XYZ College,Summer,Part Time,applicant21@example.com,+1-201-474-2599
22,Applicant 22,https://drive.google.com/resume_22,Cover Letter 22,No,LMN University,Summer,Coop/Internship,applicant22@example.com,+1-369-546-4194
23,Applicant 23,https://drive.google.com/resume_23,Cover Letter 23,No,XYZ College,Winter,Part Time,applicant23@example.com,+1-735-861-6527
24,Applicant 24,https://drive.google.com/resume_24,Cover Letter 24,No,EFG Tech,Summer,Coop/Internship,applicant24@example.com,+1-925-925-8177
